,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Hotel_names,Mask_Hotel_names,encrypt_Hotel_names,decrypted_Hotel_names
10,Resort Hotel,1,23,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Canceled,2015-06-23,Keary Chia Juventino ,LOBJO VFUW YCZZZKXRT ,b'gAAAAABjuGKQ0UM44De2ZaCt1Uz9MWlLx9CCvI0Ue5BX6tBExKC_fHN_qgeFKDatRJ6iXOlW2_cbKsU72GtcY21m9n9qOsuTyqplOuwG5EUiBpaGsJm76Dk=',b'Keary Chia Juventino '
11,Resort Hotel,0,35,2015,July,27,1,0,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,145.0,0,0,Check-Out,2015-07-05,Keidra Retha Covey ,LVNDIJ LBOVE HLJOC ,b'gAAAAABjuGKQ7hsy_5xouf6y-RY1BhCxidlxdp_xWYMeLLlDZ1M82b01tP9qSFByLweEKSESjsWiF0vzYuqS9RYrU7gTxBaB-zwrkdRpC_MzdBAFZ2GLegE=',b'Keidra Retha Covey '
12,Resort Hotel,0,68,2015,July,27,1,0,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,97.0,0,3,Check-Out,2015-07-05,Trenda Pual Courney ,OCGUJM JYWE CBLAQAF ,b'gAAAAABjuGKQQsqLq3cYUql9EHF1AyNAGZG1nn_kg1ME1E-FOoTl-iGo2_oH7JWxk_wmYhl7m-CJ7yuQUbbE76f3mxdw6BLup4apiBPGKrzOakFKUHxU1p0=',b'Trenda Pual Courney '
13,Resort Hotel,0,18,2015,July,27,1,0,4,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241.0,,0,Transient,154.77,0,1,Check-Out,2015-07-05,Aneka Betheny Tibisay Linsay ,MXDAT CGHKDNQ DJUWMAA DVVKXN ,b'gAAAAABjuGKQNH5XdF_hYLQ2Z3WZn8pnMggH-7TujJHNpDtoFSfZMrELAhNhA-3nuH5qGAhy4nmDqvq1QQkABxTupLGXFziEsRe1Syagp3pC93w3KZ2uR2E=',b'Aneka Betheny Tibisay Linsay '
14,Resort Hotel,0,37,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,94.71,0,0,Check-Out,2015-07-05,Ulices Akeia Ollie Anja ,OZVTVA SMSOR JUYWB VLTN ,b'gAAAAABjuGKQk5ad7eEtedUvz3N45iURZbXEhnsny84rSKTOFHft4KwV4WC6NitJgtRGPTecAbfJezoP1wyWxfo-FhsvrVX6wYNbsMzC919x8AHeJ9Hlfec=',b'Ulices Akeia Ollie Anja '
15,Resort Hotel,0,68,2015,July,27,1,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,97.0,0,3,Check-Out,2015-07-05,Sabino Sharissa ,TXRMRO LSQIZNTK ,b'gAAAAABjuGKQzbMtQFXzmxfU0t6hy2yQOH_aE22aDANwjqAAkQcrlkW8tZrqZkbPDV5Bm0tqWh7i6cIYQ5YvyWrN-9xsQeN1RrqE0hKACOzBa6DoRUNMQvA=',b'Sabino Sharissa '
16,Resort Hotel,0,37,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,,0,Contract,97.5,0,0,Check-Out,2015-07-05,Joycelynn Isabelle Rosalind ,VNUIISTVR OJVYADUG YCHBBELA ,b'gAAAAABjuGKQnitXlwgKX2bAN66RdblCc434RcPeWatI3YwK4BVuWFKIOrDTlzkGzzP2xo8ndx6t8XFgXZJGfkS5p_Oz4sp6Jf7TGfLZ0NtmyQhoMI-M9nE=',b'Joycelynn Isabelle Rosalind '
17,Resort Hotel,0,12,2015,July,27,1,0,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0,Transient,88.2,0,0,Check-Out,2015-07-02,Katonya Arabia Lerone ,NNIUHJE WKNRMI AENIGL ,b'gAAAAABjuGKQRjPnfT8_PFnTvSrW8qaO2PuqVIvUPdPGx9mKbOL2_BddI1ha56U3gqPju0lv9gjghe77aQEJDrNE7aT9Qh8IqkwqTLv1kr2enAWYYCHUGUY=',b'Katonya Arabia Lerone '
18,Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,,110.0,0,Transient,107.42,0,0,Check-Out,2015-07-02,Markie Tawna ,JXKLKH ULMMU ,b'gAAAAABjuGKQbTQZWN9XjBrMxc9jXCtTfMGjVGoNDDfvFeY0yx5ArXcHxGyPwe5QZFzXKgL6tpX85NogkTFvm7aEhMPfB03KUA==',b'Markie Tawna '
19,Resort Hotel,0,7,2015,July,27,1,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,153.0,0,1,Check-Out,2015-07-05,Derricka Pat ,GTTFGGHG VCP ,b'gAAAAABjuGKQVgu71aCuXznALFw9BXNUoo8wUxsf-CiV5izVIwi8BT1DzWFIMzk6Rp0VPcxy1F-jD2xUvHQjon0NV6yzl7nDDw==',b'Derricka Pat '
